movieInfo,quote,title,star,quo_num
导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...;2002/法国德国英国波兰/剧情传记历史战争;;,音乐能化解仇恨。,钢琴家,9.0,165966人评价
导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...;2006/美国英国/剧情悬疑惊悚;;,孪生蝙蝠侠大战克隆金刚狼。,致命魔术,8.8,278193人评价
导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...;1994/美国/剧情动画冒险歌舞家庭;;,动物版《哈姆雷特》。,狮子王,8.8,233003人评价
导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...;2006/日本/剧情歌舞;;,以戏谑来戏谑戏谑。,被嫌弃的松子的一生,8.9,205693人评价
导演:RobertWise主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...;1965/美国/剧情爱情歌舞家庭传记;;,用音乐化解仇恨，让歌声串起美好。,音乐之声,8.9,194524人评价
导演:马基德·马基迪MajidMajidi主演:AmirFarrokhHashemian/默罕...;1999/伊朗/剧情家庭儿童;;,奔跑的孩子是天使。,小鞋子,9.1,106674人评价
导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...;1994/美国/剧情犯罪;;,故事的高级讲法。,低俗小说,8.7,266988人评价
导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...;2008/日本/剧情;;,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,8.8,272832人评价
导演:埃里克.布雷斯EricBress/J.MackyeGruber主演:阿什顿·库彻A...;2004/美国加拿大/剧情悬疑科幻惊悚;;,人的命运被自己瞬间的抉择改变。,蝴蝶效应,8.7,318710人评价
导演:AdamElliot主演:托妮·科莱特ToniCollette/菲利普·塞默·霍...;2009/澳大利亚/剧情爱情动画;;,你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思,8.9,204206人评价
导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...;2014/美国英国加拿大/剧情科幻悬疑冒险家庭;;,爱是一种力量，让我们超越时空感知它的存在。,星际穿越,9.1,378337人评价
导演:JonathanDemme主演:JodieFoster/AnthonyHopkins/ScottGlenn;1991/美国/剧情犯罪惊悚;;,安东尼·霍普金斯的顶级表演。,沉默的羔羊,8.7,285863人评价
导演:大卫·芬奇DavidFincher主演:布拉德·皮特BradPitt/凯特·布...;2008/美国/剧情爱情奇幻;;,在时间之河里感受溺水之苦。,本杰明·巴顿奇事,8.7,331925人评价
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...;1999/美国澳大利亚/动作科幻;;,视觉革命。,黑客帝国,8.7,225911人评价
导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...;1998/美国/剧情历史战争;;,美利坚精神输出大片No1.,拯救大兵瑞恩,8.8,184912人评价
导演:M.NightShyamalan主演:BruceWillis/HaleyJoelOsment/Toni...;1999/美国/剧情悬疑惊悚;;,深入内心的恐怖，出人意料的结局。,第六感,8.8,188363人评价
导演:TimBurton主演:EwanMcGregor/AlbertFinney/BillyCrudup;2003/美国/剧情家庭奇幻冒险;;,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,8.7,204122人评价
导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/张国荣Les...;1993/香港/喜剧古装;;,百看不厌。 ,射雕英雄传之东成西就,8.7,223530人评价
导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...;2000/意大利美国/剧情战争情色;;,美丽无罪。,西西里的美丽传说,8.6,270739人评价
